"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Angola","2022","Spices; saffron","Export","65.137","150","Weight in kilograms","150"
"Angola","2022","Spices; turmeric (curcuma)","Import","10935.921","6631.024","Weight in kilograms","6631.024"
"Angola","2022","Spices; mixtures of 2 or more products of different headings","Import","204587.953","53859.335","Weight in kilograms","53859.335"
"Angola","2022","Spices; n.e.c. in heading no. 0910","Export","311.572","101.5","Weight in kilograms","101.5"
"Angola","2022","Spices; n.e.c. in heading no. 0910","Import","467543.189","222927.704","Weight in kilograms","222927.704"
"Angola","2020","Coffee; not roasted or decaffeinated","Export","842541.939","561484","Weight in kilograms","561484"
"Angola","2020","Coffee; not roasted or decaffeinated","Import","217895.376","20159.328","Weight in kilograms","20159.328"
"Angola","2020","Coffee; decaffeinated, not roasted","Export","248.197","155.753","Weight in kilograms","155.753"
"Angola","2020","Coffee; decaffeinated, not roasted","Import","70379.916","8729.105","Weight in kilograms","8729.105"
"Angola","2020","Coffee; roasted, not decaffeinated","Export","141560.33","54477","Weight in kilograms","54477"
"Angola","2020","Coffee; roasted, not decaffeinated","Import","2338541.027","200629.487","Weight in kilograms","200629.487"
"Angola","2020","Coffee; roasted, decaffeinated","Import","114221.268","24300.159","Weight in kilograms","24300.159"
"Angola","2020","Coffee; roasted, decaffeinated","Export","190.802","24.23","Weight in kilograms","24.23"
"Angola","2020","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Import","177074.922","54002.857","Weight in kilograms","54002.857"
"Angola","2020","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Export","878437.918","521141.16","Weight in kilograms","521141.16"
"Angola","2020","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import","322857.033","","No Quantity",""
"Angola","2020","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Export","8866.564","213","Weight in kilograms","213"
"Angola","2020","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Import","130425.168","40586.46","Weight in kilograms","40586.46"
"Angola","2020","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Export","15383.248","2887.5","Weight in kilograms","2887.5"
"Angola","2020","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Export","400.34","5","Weight in kilograms","5"
"Angola","2020","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","569932.11","125887.069","Weight in kilograms","125887.069"
"Angola","2020","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Re-Export","895.636","47","Weight in kilograms","47"
"Angola","2020","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import","516100.687","147077.937","Weight in kilograms","147077.937"
"Angola","2020","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Export","8282.915","2007.66","Weight in kilograms","2007.66"
"Angola","2020","Mate","Import","2570.516","","No Quantity",""
"Angola","2020","Spices; pepper (of the genus piper), neither crushed nor ground","Export","83.726","248","Weight in kilograms","248"
"Angola","2020","Spices; pepper (of the genus piper), neither crushed nor ground","Import","52959.804","20400.281","Weight in kilograms","20400.281"
"Angola","2020","Spices; pepper (of the genus piper), crushed or ground","Export","4.967","0.5","Weight in kilograms","0.5"
"Angola","2020","Spices; pepper (of the genus piper), crushed or ground","Import","278319.152","98653.646","Weight in kilograms","98653.646"
"Angola","2020","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Import","8805.971","14839.05","Weight in kilograms","14839.05"
"Angola","2020","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Import","65948.091","45054.779","Weight in kilograms","45054.779"
"Angola","2020","Spices; vanilla, neither crushed nor ground","Import","19153.03","","No Quantity",""
"Angola","2020","Spices; vanilla, crushed or ground","Import","55420.278","","No Quantity",""
"Angola","2020","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","82939.139","26008.725","Weight in kilograms","26008.725"
"Angola","2020","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Export","518.799","6","Weight in kilograms","6"
"Angola","2020","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","9148.009","8233.72","Weight in kilograms","8233.72"
"Angola","2020","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Import","78148.922","47373.016","Weight in kilograms","47373.016"
"Angola","2020","Spices; cloves (whole fruit, cloves and stems), neither crushed nor ground","Import","11599.163","13069.59","Weight in kilograms","13069.59"
