"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Slovenia","2021","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","114182.734","4247.336","Weight in kilograms","4247.336"
"Slovenia","2021","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Export","310.466","15.113","Weight in kilograms","15.113"
"Slovenia","2021","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Export","1480.351","148.69","Weight in kilograms","148.69"
"Slovenia","2021","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","4544.751","188.984","Weight in kilograms","188.984"
"Slovenia","2021","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Export","18813.17","1158.949","Weight in kilograms","1158.949"
"Slovenia","2021","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Import","385558.007","40400.885","Weight in kilograms","40400.885"
"Slovenia","2021","Spices; cloves (whole fruit, cloves and stems), neither crushed nor ground","Export","359.949","9.26","Weight in kilograms","9.26"
"Slovenia","2021","Spices; cloves (whole fruit, cloves and stems), neither crushed nor ground","Import","97996.683","3934.573","Weight in kilograms","3934.573"
"Slovenia","2021","Spices; cloves (whole fruit, cloves and stems), crushed or ground","Export","1091.955","69.283","Weight in kilograms","69.283"
"Slovenia","2021","Spices; cloves (whole fruit, cloves and stems), crushed or ground","Import","21170.23","1633.455","Weight in kilograms","1633.455"
"Slovenia","2021","Spices; nutmeg, neither crushed nor ground","Import","36649.674","679.671","Weight in kilograms","679.671"
"Slovenia","2021","Spices; nutmeg, crushed or ground","Import","138042.565","7557.075","Weight in kilograms","7557.075"
"Slovenia","2021","Spices; nutmeg, crushed or ground","Export","3701.235","209.639","Weight in kilograms","209.639"
"Slovenia","2021","Spices; mace, neither crushed nor ground","Import","209.651","5.5","Weight in kilograms","5.5"
"Slovenia","2021","Spices; mace, crushed or ground","Import","2910.778","90.54","Weight in kilograms","90.54"
"Slovenia","2021","Spices; cardamoms, neither crushed nor ground","Import","15768.131","293.335","Weight in kilograms","293.335"
"Slovenia","2021","Spices; cardamoms, neither crushed nor ground","Export","1919.299","48.407","Weight in kilograms","48.407"
"Slovenia","2021","Spices; cardamoms, crushed or ground","Import","19525.141","399.076","Weight in kilograms","399.076"
"Slovenia","2021","Spices; cardamoms, crushed or ground","Export","854.204","8.914","Weight in kilograms","8.914"
"Slovenia","2021","Spices; coriander seeds, neither crushed nor ground","Export","451.586","37.44","Weight in kilograms","37.44"
"Slovenia","2021","Spices; coriander seeds, neither crushed nor ground","Import","18967.025","1874.409","Weight in kilograms","1874.409"
"Slovenia","2021","Spices; coriander seeds, crushed or ground","Export","1028.624","146.32","Weight in kilograms","146.32"
"Slovenia","2021","Spices; coriander seeds, crushed or ground","Import","8533.753","1879.167","Weight in kilograms","1879.167"
"Slovenia","2021","Spices; cumin seeds, neither crushed nor ground","Export","1842.586","245.667","Weight in kilograms","245.667"
"Slovenia","2021","Spices; cumin seeds, neither crushed nor ground","Import","6266.884","474.618","Weight in kilograms","474.618"
"Slovenia","2021","Spices; cumin seeds, crushed or ground","Import","18963.506","2875.412","Weight in kilograms","2875.412"
"Slovenia","2021","Spices; cumin seeds, crushed or ground","Export","336.276","33","Weight in kilograms","33"
"Slovenia","2021","Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground","Import","1509389.831","439347.271","Weight in kilograms","439347.271"
"Slovenia","2021","Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground","Export","98705.622","33736.143","Weight in kilograms","33736.143"
"Slovenia","2021","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Export","681.173","33.995","Weight in kilograms","33.995"
"Slovenia","2021","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Import","130387.569","17939.035","Weight in kilograms","17939.035"
"Slovenia","2021","Spices; ginger, neither crushed nor ground","Export","271823.164","105382.82","Weight in kilograms","105382.82"
"Slovenia","2021","Spices; ginger, neither crushed nor ground","Import","977281.88","346649.356","Weight in kilograms","346649.356"
"Slovenia","2021","Spices; ginger, crushed or ground","Import","138814.172","13788.605","Weight in kilograms","13788.605"
"Slovenia","2021","Spices; ginger, crushed or ground","Export","59033.325","3519.934","Weight in kilograms","3519.934"
"Slovenia","2021","Spices; saffron","Import","38951.068","1396.117","Weight in kilograms","1396.117"
"Slovenia","2021","Spices; saffron","Export","510.512","0.416","Weight in kilograms","0.416"
"Slovenia","2021","Spices; turmeric (curcuma)","Import","265647.135","43253.942","Weight in kilograms","43253.942"
"Slovenia","2021","Spices; turmeric (curcuma)","Export","116778.786","8404.293","Weight in kilograms","8404.293"
"Slovenia","2021","Spices; mixtures of 2 or more products of different headings","Import","641068.48","65363.898","Weight in kilograms","65363.898"
"Slovenia","2021","Spices; mixtures of 2 or more products of different headings","Export","34503.763","3317.566","Weight in kilograms","3317.566"
"Slovenia","2021","Spices; n.e.c. in heading no. 0910","Export","149637.562","16384.32","Weight in kilograms","16384.32"
"Slovenia","2021","Spices; n.e.c. in heading no. 0910","Import","3118883.127","530795.315","Weight in kilograms","530795.315"
"Slovenia","2020","Coffee; not roasted or decaffeinated","Export","14030399.59","6443558.93","Weight in kilograms","6443558.93"
"Slovenia","2020","Coffee; not roasted or decaffeinated","Import","34387625.26","15323377.97","Weight in kilograms","15323377.97"
"Slovenia","2020","Coffee; decaffeinated, not roasted","Export","93737.06","19879.48","Weight in kilograms","19879.48"
"Slovenia","2020","Coffee; decaffeinated, not roasted","Import","276771.68","64347.81","Weight in kilograms","64347.81"
"Slovenia","2020","Coffee; roasted, not decaffeinated","Import","34228057.06","5274284.45","Weight in kilograms","5274284.45"
"Slovenia","2020","Coffee; roasted, not decaffeinated","Export","23918072.05","3231324.34","Weight in kilograms","3231324.34"
"Slovenia","2020","Coffee; roasted, decaffeinated","Import","649490.38","61380.82","Weight in kilograms","61380.82"
"Slovenia","2020","Coffee; roasted, decaffeinated","Export","347364.16","31588.09","Weight in kilograms","31588.09"
"Slovenia","2020","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Export","348858.56","119929.08","Weight in kilograms","119929.08"
"Slovenia","2020","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Import","796004.44","251750.05","Weight in kilograms","251750.05"
"Slovenia","2020","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Export","259998.96","13372.75","Weight in kilograms","13372.75"
"Slovenia","2020","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import","895075.63","45224.18","Weight in kilograms","45224.18"
"Slovenia","2020","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Export","5693.9","391.46","Weight in kilograms","391.46"
"Slovenia","2020","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Import","221373.12","25939.9","Weight in kilograms","25939.9"
